original_code,code_level,code,sector,borderline
OIL - UPSTREAM,2,1303,oil and gas,FALSE
CRUDE OIL REFINING,2,1304,oil and gas,TRUE
NATURAL GAS,2,1305,oil and gas,FALSE
oil and gas- DOWNSTREAM,2,1306,oil and gas,TRUE
Others,2,1401,not in scope,FALSE
INDEPENDENT power PROJECTS (IPP),2,1501,power,TRUE
power GENERATION/power PLANTS,2,1502,power,FALSE
VETERINARY ACTIVITIES,2,1601,not in scope,FALSE
LEGAL AND ACCOUNTING ACTIVITIES,2,1602,not in scope,FALSE
"OTHER PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",2,1603,not in scope,FALSE
ACTIVITIES OF HEAD OFFICES; MANAGEMENT CONSULTANCY ACTIVITIES,2,1604,not in scope,FALSE
ARCHITECTURAL AND ENGINEERING ACTIVITIES; TECHNICAL TESTING AND ANALYSIS,2,1605,not in scope,FALSE
ADVERTISING AND MARKET RESEARCH,2,1606,not in scope,FALSE
COMMERCIAL PROPERTY,2,1701,not in scope,FALSE
REAL ESTATE CONSTRUCTION / HOME DEVELOPERS,2,1702,not in scope,FALSE
RESIDENTIAL MORTGAGE LOANS,2,1703,not in scope,FALSE
HOME EQUITY,2,1704,not in scope,FALSE
REAL ESTATE (INCOME-PRODUCING),2,1705,not in scope,FALSE
POSTAL AND COURIER ACTIVITIES,2,1801,not in scope,FALSE
ROAD TRANSPORT,2,1802,automotive,TRUE
WATER TRANSPORT,2,1803,shipping,FALSE
AIR TRANSPORT,2,1804,aviation,FALSE
WAREHOUSING & SUPPORT ACT. FOR TRANSPORTATION,2,1805,not in scope,FALSE
"WASTE COLLECTION, TREATMENT AND DISPOSAL ACTIVITIES; MATERIALS RECOVERY",2,1901,not in scope,FALSE
