region,isos,source
non oecd,gh,weo_2023
non oecd,ke,weo_2023
non oecd,mu,weo_2023
non oecd,mz,weo_2023
non oecd,na,weo_2023
non oecd,ne,weo_2023
non oecd,ng,weo_2023
non oecd,sn,weo_2023
non oecd,za,weo_2023
non oecd,ss,weo_2023
non oecd,sd,weo_2023
non oecd,tz,weo_2023
non oecd,tg,weo_2023
non oecd,zm,weo_2023
non oecd,zw,weo_2023
non oecd,bd,weo_2023
non oecd,cn,weo_2023
non oecd,in,weo_2023
non oecd,mn,weo_2023
non oecd,np,weo_2023
non oecd,pk,weo_2023
non oecd,lk,weo_2023
non oecd,tw,weo_2023
non oecd,bn,weo_2023
non oecd,kh,weo_2023
non oecd,id,weo_2023
non oecd,la,weo_2023
non oecd,my,weo_2023
non oecd,mm,weo_2023
non oecd,ph,weo_2023
non oecd,sg,weo_2023
non oecd,th,weo_2023
non oecd,vn,weo_2023
non oecd,af,weo_2023
non oecd,bt,weo_2023
non oecd,ck,weo_2023
non oecd,fj,weo_2023
non oecd,pf,weo_2023
non oecd,ki,weo_2023
non oecd,mo,weo_2023
non oecd,mv,weo_2023
non oecd,nc,weo_2023
non oecd,pw,weo_2023
non oecd,pg,weo_2023
non oecd,ws,weo_2023
non oecd,sb,weo_2023
non oecd,tl,weo_2023
non oecd,to,weo_2023
non oecd,vu,weo_2023
non oecd,am,weo_2023
non oecd,az,weo_2023
non oecd,ge,weo_2023
non oecd,kz,weo_2023
non oecd,kg,weo_2023
non oecd,tj,weo_2023
non oecd,tm,weo_2023
non oecd,uz,weo_2023
non oecd,ar,weo_2023
non oecd,bo,weo_2023
non oecd,br,weo_2023
non oecd,cu,weo_2023
non oecd,cw,weo_2023
non oecd,do,weo_2023
non oecd,ec,weo_2023
non oecd,sv,weo_2023
non oecd,gt,weo_2023
non oecd,ht,weo_2023
non oecd,hn,weo_2023
non oecd,jm,weo_2023
non oecd,ni,weo_2023
non oecd,pa,weo_2023
non oecd,py,weo_2023
non oecd,pe,weo_2023
non oecd,sr,weo_2023
non oecd,tt,weo_2023
non oecd,uy,weo_2023
non oecd,ve,weo_2023
non oecd,ai,weo_2023
non oecd,ag,weo_2023
non oecd,aw,weo_2023
non oecd,bs,weo_2023
non oecd,bb,weo_2023
non oecd,bz,weo_2023
non oecd,bm,weo_2023
non oecd,bq,weo_2023
non oecd,vg,weo_2023
non oecd,ky,weo_2023
non oecd,dm,weo_2023
non oecd,fk,weo_2023
non oecd,gf,weo_2023
non oecd,gd,weo_2023
non oecd,gp,weo_2023
non oecd,gy,weo_2023
non oecd,mq,weo_2023
non oecd,ms,weo_2023
non oecd,lc,weo_2023
non oecd,pm,weo_2023
non oecd,vc,weo_2023
non oecd,mf,weo_2023
non oecd,tc,weo_2023
non oecd,hk,weo_2023
non oecd,ru,weo_2023
non oecd,al,weo_2023
non oecd,by,weo_2023
non oecd,ba,weo_2023
non oecd,mk,weo_2023
non oecd,gi,weo_2023
non oecd,xk,weo_2023
non oecd,me,weo_2023
non oecd,rs,weo_2023
non oecd,md,weo_2023
non oecd,ua,weo_2023
non oecd,bh,weo_2023
non oecd,ir,weo_2023
non oecd,iq,weo_2023
non oecd,jo,weo_2023
non oecd,kw,weo_2023
non oecd,lb,weo_2023
non oecd,om,weo_2023
non oecd,qa,weo_2023
non oecd,sa,weo_2023
non oecd,sy,weo_2023
non oecd,ae,weo_2023
non oecd,ye,weo_2023
non oecd,gq,weo_2023
non oecd,bf,weo_2023
non oecd,bi,weo_2023
non oecd,cv,weo_2023
non oecd,cf,weo_2023
non oecd,td,weo_2023
non oecd,km,weo_2023
non oecd,dj,weo_2023
non oecd,gm,weo_2023
non oecd,gn,weo_2023
non oecd,gw,weo_2023
non oecd,ls,weo_2023
non oecd,lr,weo_2023
non oecd,mg,weo_2023
non oecd,mw,weo_2023
non oecd,ml,weo_2023
non oecd,mr,weo_2023
non oecd,re,weo_2023
non oecd,rw,weo_2023
non oecd,st,weo_2023
non oecd,sc,weo_2023
non oecd,sl,weo_2023
non oecd,so,weo_2023
non oecd,ug,weo_2023
non opec,bg,weo_2023
non opec,hr,weo_2023
non opec,cy,weo_2023
non opec,mt,weo_2023
non opec,ro,weo_2023
non opec,au,weo_2023
non opec,at,weo_2023
non opec,be,weo_2023
non opec,ca,weo_2023
non opec,cl,weo_2023
non opec,cz,weo_2023
non opec,dk,weo_2023
non opec,ee,weo_2023
non opec,fi,weo_2023
non opec,fr,weo_2023
non opec,de,weo_2023
non opec,gr,weo_2023
non opec,hu,weo_2023
non opec,is,weo_2023
non opec,ie,weo_2023
non opec,il,weo_2023
non opec,it,weo_2023
non opec,jp,weo_2023
non opec,kp,weo_2023
non opec,lv,weo_2023
non opec,lt,weo_2023
non opec,lu,weo_2023
non opec,mx,weo_2023
non opec,nl,weo_2023
non opec,nz,weo_2023
non opec,no,weo_2023
non opec,pl,weo_2023
non opec,pt,weo_2023
non opec,sk,weo_2023
non opec,si,weo_2023
non opec,es,weo_2023
non opec,se,weo_2023
non opec,ch,weo_2023
non opec,tr,weo_2023
non opec,gb,weo_2023
non opec,us,weo_2023
non opec,eg,weo_2023
non opec,ma,weo_2023
non opec,tn,weo_2023
non opec,bj,weo_2023
non opec,bw,weo_2023
non opec,cm,weo_2023
non opec,ci,weo_2023
non opec,cd,weo_2023
non opec,er,weo_2023
non opec,et,weo_2023
non opec,gh,weo_2023
non opec,ke,weo_2023
non opec,mu,weo_2023
non opec,mz,weo_2023
non opec,na,weo_2023
non opec,ne,weo_2023
non opec,sn,weo_2023
non opec,za,weo_2023
non opec,ss,weo_2023
non opec,sd,weo_2023
non opec,tz,weo_2023
non opec,tg,weo_2023
non opec,zm,weo_2023
non opec,zw,weo_2023
non opec,bd,weo_2023
non opec,cn,weo_2023
non opec,in,weo_2023
non opec,mn,weo_2023
non opec,np,weo_2023
non opec,pk,weo_2023
non opec,lk,weo_2023
non opec,tw,weo_2023
non opec,bn,weo_2023
non opec,kh,weo_2023
non opec,id,weo_2023
non opec,la,weo_2023
non opec,my,weo_2023
non opec,mm,weo_2023
non opec,ph,weo_2023
non opec,sg,weo_2023
non opec,th,weo_2023
non opec,vn,weo_2023
non opec,af,weo_2023
non opec,bt,weo_2023
non opec,ck,weo_2023
