region,value,type,source
africa,gw,country_name,isf_2020
africa,ls,country_name,isf_2020
africa,lr,country_name,isf_2020
africa,mg,country_name,isf_2020
africa,mw,country_name,isf_2020
africa,ml,country_name,isf_2020
africa,mr,country_name,isf_2020
africa,re,country_name,isf_2020
africa,rw,country_name,isf_2020
africa,st,country_name,isf_2020
africa,sc,country_name,isf_2020
africa,sl,country_name,isf_2020
africa,so,country_name,isf_2020
africa,ug,country_name,isf_2020
middle east,bh,country_name,isf_2020
middle east,ir,country_name,isf_2020
middle east,iq,country_name,isf_2020
middle east,jo,country_name,isf_2020
middle east,kw,country_name,isf_2020
middle east,lb,country_name,isf_2020
middle east,om,country_name,isf_2020
middle east,qa,country_name,isf_2020
middle east,sa,country_name,isf_2020
middle east,sy,country_name,isf_2020
middle east,ae,country_name,isf_2020
middle east,ye,country_name,isf_2020
middle east,il,country_name,isf_2020
eurasia/eastern europe,ru,country_name,isf_2020
eurasia/eastern europe,am,country_name,isf_2020
eurasia/eastern europe,az,country_name,isf_2020
eurasia/eastern europe,ge,country_name,isf_2020
eurasia/eastern europe,kz,country_name,isf_2020
eurasia/eastern europe,kg,country_name,isf_2020
eurasia/eastern europe,tj,country_name,isf_2020
eurasia/eastern europe,tm,country_name,isf_2020
eurasia/eastern europe,uz,country_name,isf_2020
non oecd asia,af,country_name,isf_2020
non oecd asia,pk,country_name,isf_2020
non oecd asia,np,country_name,isf_2020
non oecd asia,bt,country_name,isf_2020
non oecd asia,bd,country_name,isf_2020
non oecd asia,lk,country_name,isf_2020
non oecd asia,mm,country_name,isf_2020
non oecd asia,lk,country_name,isf_2020
non oecd asia,th,country_name,isf_2020
non oecd asia,vn,country_name,isf_2020
non oecd asia,kh,country_name,isf_2020
non oecd asia,la,country_name,isf_2020
non oecd asia,ph,country_name,isf_2020
non oecd asia,my,country_name,isf_2020
non oecd asia,sg,country_name,isf_2020
non oecd asia,id,country_name,isf_2020
non oecd asia,pg,country_name,isf_2020
oecd pacific,au,country_name,isf_2020
oecd pacific,nz,country_name,isf_2020
oecd pacific,jp,country_name,isf_2020
oecd pacific,kp,country_name,isf_2020
oecd pacific,kr,country_name,isf_2020
