"","code","description","sector","borderline"
"163","62399","retail trade by other specialised stores","not in scope",FALSE
"164","62520","retail trade via stalls and markets","not in scope",FALSE
"165","62590","other retail trade not in stores","not in scope",FALSE
"166","63110","wholesale sale of motor vehicles","not in scope",FALSE
"167","63121","retail sale of new motor vehicles","not in scope",FALSE
"168","63122","retail sale of used motor vehicles","not in scope",FALSE
"169","63201","general repairs","not in scope",FALSE
"170","63202","electrical repairs","not in scope",FALSE
"171","63204","body repairs","not in scope",FALSE
"172","63319","sale of other new parts and accessories","not in scope",FALSE
"173","63500","retail sale of automotive fuel","not in scope",FALSE
"174","64101","hotels, motels, botels and inns registered with the sa tourism board","not in scope",FALSE
"175","64103","guest-houses and guest-farms","not in scope",FALSE
"176","64201","restaurants or tearooms with liquor licence","not in scope",FALSE
"177","64204","caterers","not in scope",FALSE
"178","64209","other catering services n.e.c.","not in scope",FALSE
"179","71112","railway commuter services","not in scope",FALSE
"180","71229","other passenger transport, including the renting of passenger motor vehicles with drivers","not in scope",FALSE
"181","71239","other freight transport by road","not in scope",FALSE
"182","71300","transport via pipelines","not in scope",FALSE
"183","72112","ocean shipping","shipping",FALSE
"184","72200","inland water transport","not in scope",FALSE
"185","73000","air transport","aviation",TRUE
"186","74110","cargo handling","not in scope",FALSE
"187","74120","storage and warehousing","not in scope",FALSE
"188","74133","maintenance and operation of harbour works, lighthouses, etc., pilotage","not in scope",FALSE
"189","74134","operation of airports, flying fields and air navigation facilities","not in scope",FALSE
"190","74135","operation of roads and toll roads","not in scope",FALSE
"191","74139","other supporting transport activities n.e.c.","not in scope",FALSE
"192","74140","travel agency and related activities","not in scope",FALSE
"193","74190","activities of other transport agencies","not in scope",FALSE
"194","75120","courier activities other than national postal activities","not in scope",FALSE
"195","75200","telecommunication","not in scope",FALSE
"196","81110","central banking","not in scope",FALSE
"197","81121","discount houses and commercial and other banking","not in scope",FALSE
"198","81122","building society activities","not in scope",FALSE
"199","81910","lease financing","not in scope",FALSE
"200","81920","other credit granting","not in scope",FALSE
"201","81990","other financial intermediation n.e.c.","not in scope",FALSE
"202","82110","life insurance","not in scope",FALSE
"203","82120","pension funding","not in scope",FALSE
"204","82130","medical aid funding","not in scope",FALSE
"205","82190","other insurance n.e.c.","not in scope",FALSE
"206","83110","administration of financial markets","not in scope",FALSE
"207","83120","security dealing activities","not in scope",FALSE
"208","83190","activities auxiliary to financial intermediation n.e.c.","not in scope",FALSE
"209","83200","activities auxiliary to insurance and pension funding","not in scope",FALSE
"210","84110","property owning and letting","not in scope",FALSE
"211","84120","developing real estate, subdividing real estate into lots and residential development on own account","not in scope",FALSE
"212","84130","owning and/or sale of own fixed property","not in scope",FALSE
"213","84210","activities of estate agencies, rent collectors, appraisers and valuers","not in scope",FALSE
"214","85220","renting of construction and civil engineering machinery and equipment","not in scope",FALSE
"215","85230","renting of office machinery and equipment (including computers)","not in scope",FALSE
"216","85290","renting of other machinery and equipment n.e.c.","not in scope",FALSE
"217","86100","hardware consultancy","not in scope",FALSE
"218","86200","software consultancy and supply","not in scope",FALSE
"219","86300","data processing","not in scope",FALSE
"220","86400","data base activities","not in scope",FALSE
"221","86900","other computer related activities","not in scope",FALSE
"222","87120","agricultural and livestock research","not in scope",FALSE
"223","87190","other research n.e.c.","not in scope",FALSE
"224","88111","activities of attorneys, notaries and conveyancers","not in scope",FALSE
"225","88121","activities of accountants and auditors registered in terms of the public accountants and auditors act","not in scope",FALSE
"226","88140","business and management consultancy activities","not in scope",FALSE
"227","88212","architectural activities","not in scope",FALSE
"228","88214","activities of land surveyors","not in scope",FALSE
"229","88311","activities of advertising agents","not in scope",FALSE
"230","88911","activities of employment agencies and recruiting organisations","not in scope",FALSE
"231","88920","investigation and security activities","not in scope",FALSE
"232","88950","packaging activities","not in scope",FALSE
"233","88991","credit rating agency activities","not in scope",FALSE
"234","88999","other business activities n.e.c.","not in scope",FALSE
"235","92006","education by teachers' training colleges of education for further training","not in scope",FALSE
"236","92007","education by universities","not in scope",FALSE
"237","92008","education by correspondence and private vocational colleges","not in scope",FALSE
"238","92009","other educational services - own account teachers, motor vehicle driving schools/tutors and music, dancing and other art schools, etc.","not in scope",FALSE
"239","93111","general hospitals","not in scope",FALSE
"240","93119","other hospitals, n.e.c.","not in scope",FALSE
"241","93121","medical practitioner and specialist activities","not in scope",FALSE
"242","93122","dentist and specialist dentist activities","not in scope",FALSE
"243","93192","clinics and related health care services","not in scope",FALSE
"244","93194","chiropractors and other associated health care services","not in scope",FALSE
"245","93199","other health services","not in scope",FALSE
"246","93300","social work activities","not in scope",FALSE
"247","94000","sewage and refuse disposal, sanitation and similar activities","not in scope",FALSE
"248","95110","activities of business and employers' organisations","not in scope",FALSE
"249","95120","activities of professional organisations","not in scope",FALSE
"250","95910","activities of religious organisations","not in scope",FALSE
"251","96130","radio and television activities","not in scope",FALSE
"252","96200","news agency activities","not in scope",FALSE
"253","96330","botanical and zoological gardens and nature reserve activities","not in scope",FALSE
"254","96410","sporting activities","not in scope",FALSE
"255","96490","other recreational activities","not in scope",FALSE
"256","99090","other service activities n.e.c.","not in scope",FALSE
"257","38100","manufacture of motor vehicles","hdv",FALSE
"258","38200","manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","hdv",TRUE
"259","38309","manufacture of other motor vehicle parts and accessories","hdv",TRUE
