"","original_code","code_level","code","sector","borderline"
"122","Growing of timber forest species (e.g. Gemelina, Eucalyptus, etc.), planting, replanting, transplanting, thinning and conserving of forest and timber tracts",5,2110,"not in scope",FALSE
"123","Operation of forest tree nurseries",5,2120,"not in scope",FALSE
"124","Production of roundwood for forest-based manufacturing industries",5,2201,"not in scope",FALSE
"125","Production of roundwood used in an unprocessed form such as pit-props, fence posts and utility poles",5,2202,"not in scope",FALSE
"126","Firewood cutting & charcoal making in the forest",5,2203,"not in scope",FALSE
"127","Gathering of non-wood forest products",5,2300,"not in scope",FALSE
"128","Support services to forestry",5,2400,"not in scope",FALSE
"129","Ocean fishing, commercial (using vessels over 3 tons)",5,3111,"not in scope",FALSE
"130","Coastal fishing, municipal (using vessels of less than 3 tons)",5,3112,"not in scope",FALSE
"131","Fish corral fishing",5,3113,"not in scope",FALSE
"132","Catching fish, crabs and crustaceans in inland waters",5,3121,"not in scope",FALSE
"133","Gathering shells and clams, edible, in inland waters",5,3122,"not in scope",FALSE
"134","Other freshwater fishing activities, n.e.c.",5,3129,"not in scope",FALSE
"135","Operation of freshwater fishpond, except fish breeding farms and nurseries",5,3211,"not in scope",FALSE
"136","Operation of   freshwater  fish pens and fish cage",5,3212,"not in scope",FALSE
"137","Operation of  freshwater fish breeding farms and nurseries",5,3213,"not in scope",FALSE
"138","Culture of   freshwater ornamental  fish",5,3214,"not in scope",FALSE
"139","Other freshwater  fish farming activities",5,3219,"not in scope",FALSE
"140","Operation of  marine fish tanks, pens, cage except fish breeding farms and nurseries in sea water",5,3221,"not in scope",FALSE
"141","Operation of  freshwater fish breeding farms and nurseries",5,3222,"not in scope",FALSE
"142","Catching and culturing ornamental (aquarium) fish",5,3223,"not in scope",FALSE
"143","Gathering of   fry",5,3224,"not in scope",FALSE
"144","Other  marine fish farming activities",5,3229,"not in scope",FALSE
"145","Operation of marine sport fishing preserves",5,3230,"not in scope",FALSE
"146","Prawn culture  in  brackish water",5,3240,"not in scope",FALSE
