region,value,type,source
global,mr,country_name,geco_2021
global,mu,country_name,geco_2021
global,mz,country_name,geco_2021
global,NA,country_name,geco_2021
global,ne,country_name,geco_2021
global,ng,country_name,geco_2021
global,rw,country_name,geco_2021
global,sn,country_name,geco_2021
global,sl,country_name,geco_2021
global,so,country_name,geco_2021
global,sd,country_name,geco_2021
global,sz,country_name,geco_2021
global,tz,country_name,geco_2021
global,tg,country_name,geco_2021
global,ug,country_name,geco_2021
global,zm,country_name,geco_2021
global,ao,country_name,geco_2021
global,bj,country_name,geco_2021
global,bw,country_name,geco_2021
global,ir,country_name,geco_2021
global,sa,country_name,geco_2021
global,tr,country_name,geco_2021
global,il,country_name,geco_2021
global,jo,country_name,geco_2021
global,lb,country_name,geco_2021
global,sy,country_name,geco_2021
global,bh,country_name,geco_2021
global,iq,country_name,geco_2021
global,kw,country_name,geco_2021
global,om,country_name,geco_2021
global,qa,country_name,geco_2021
global,ae,country_name,geco_2021
global,ye,country_name,geco_2021
global,cn,country_name,geco_2021
global,in,country_name,geco_2021
global,id,country_name,geco_2021
global,my,country_name,geco_2021
global,th,country_name,geco_2021
global,vn,country_name,geco_2021
global,af,country_name,geco_2021
global,bd,country_name,geco_2021
global,bt,country_name,geco_2021
global,mv,country_name,geco_2021
global,np,country_name,geco_2021
global,pk,country_name,geco_2021
global,sc,country_name,geco_2021
global,lk,country_name,geco_2021
global,bn,country_name,geco_2021
global,kh,country_name,geco_2021
global,la,country_name,geco_2021
global,mn,country_name,geco_2021
global,mm,country_name,geco_2021
global,kp,country_name,geco_2021
global,sg,country_name,geco_2021
global,tw,country_name,geco_2021
global,au,country_name,geco_2021
global,jp,country_name,geco_2021
global,kr,country_name,geco_2021
global,nz,country_name,geco_2021
global,fj,country_name,geco_2021
global,ki,country_name,geco_2021
global,pg,country_name,geco_2021
global,ws,country_name,geco_2021
global,sb,country_name,geco_2021
global,to,country_name,geco_2021
global,vu,country_name,geco_2021
global,gb,country_name,geco_2021
global,at,country_name,geco_2021
global,be,country_name,geco_2021
global,bg,country_name,geco_2021
global,hr,country_name,geco_2021
global,cy,country_name,geco_2021
global,cz,country_name,geco_2021
global,dk,country_name,geco_2021
global,ee,country_name,geco_2021
global,fi,country_name,geco_2021
global,fr,country_name,geco_2021
global,de,country_name,geco_2021
global,gr,country_name,geco_2021
global,hu,country_name,geco_2021
global,ie,country_name,geco_2021
global,it,country_name,geco_2021
global,lv,country_name,geco_2021
global,lt,country_name,geco_2021
global,lu,country_name,geco_2021
global,mt,country_name,geco_2021
global,nl,country_name,geco_2021
global,pl,country_name,geco_2021
global,pt,country_name,geco_2021
global,ro,country_name,geco_2021
global,sk,country_name,geco_2021
global,si,country_name,geco_2021
global,es,country_name,geco_2021
global,se,country_name,geco_2021
global,pr,country_name,geco_2021
global,ph,country_name,geco_2021
global,gu,country_name,geco_2021
global,zw,country_name,geco_2021
global,gf,country_name,geco_2021
global,gp,country_name,geco_2021
global,mq,country_name,geco_2021
global,nc,country_name,geco_2021
global,re,country_name,geco_2021
global,vi,country_name,geco_2021
global,tl,country_name,geco_2021
global,ky,country_name,geco_2021
global,hk,country_name,geco_2021
global,xk,country_name,geco_2021
global,kn,country_name,geco_2021
global,je,country_name,geco_2021
global,ss,country_name,geco_2021
global,pf,country_name,geco_2021
global,wf,country_name,geco_2021
global,bl,country_name,geco_2021
global,mf,country_name,geco_2021
global,pm,country_name,geco_2021
global,cw,country_name,geco_2021
global,gi,country_name,geco_2021
global,mh,country_name,geco_2021
global,nr,country_name,geco_2021
global,gg,country_name,geco_2021
global,as,country_name,geco_2021
global,ai,country_name,geco_2021
global,vg,country_name,geco_2021
global,mp,country_name,geco_2021
global,mo,country_name,geco_2021
global,yt,country_name,geco_2021
global,ad,country_name,geco_2021
global,sx,country_name,geco_2021
global,fm,country_name,geco_2021
global,im,country_name,geco_2021
global,ag,country_name,geco_2021
global,gl,country_name,geco_2021
global,pw,country_name,geco_2021
global,fo,country_name,geco_2021
global,ck,country_name,geco_2021
global,ms,country_name,geco_2021
global,sh,country_name,geco_2021
global,sm,country_name,geco_2021
global,tv,country_name,geco_2021
