region,value,type,source
opec,sa,country_name,weo_2020
opec,ae,country_name,weo_2020
opec,ve,country_name,weo_2020
other african countries and territories,bf,country_name,weo_2020
other african countries and territories,bi,country_name,weo_2020
other african countries and territories,cv,country_name,weo_2020
other african countries and territories,cf,country_name,weo_2020
other african countries and territories,td,country_name,weo_2020
other african countries and territories,km,country_name,weo_2020
other african countries and territories,dj,country_name,weo_2020
other african countries and territories,gq,country_name,weo_2020
other african countries and territories,gm,country_name,weo_2020
other african countries and territories,gn,country_name,weo_2020
other african countries and territories,gw,country_name,weo_2020
other african countries and territories,ls,country_name,weo_2020
other african countries and territories,lr,country_name,weo_2020
other african countries and territories,mg,country_name,weo_2020
other african countries and territories,mw,country_name,weo_2020
other african countries and territories,ml,country_name,weo_2020
other african countries and territories,mr,country_name,weo_2020
other african countries and territories,re,country_name,weo_2020
other african countries and territories,rw,country_name,weo_2020
other african countries and territories,st,country_name,weo_2020
other african countries and territories,sc,country_name,weo_2020
other african countries and territories,sl,country_name,weo_2020
other african countries and territories,so,country_name,weo_2020
other african countries and territories,ug,country_name,weo_2020
other asia pacific countries and territories,af,country_name,weo_2020
other asia pacific countries and territories,bt,country_name,weo_2020
other asia pacific countries and territories,ck,country_name,weo_2020
other asia pacific countries and territories,fj,country_name,weo_2020
other asia pacific countries and territories,pf,country_name,weo_2020
other asia pacific countries and territories,ki,country_name,weo_2020
other asia pacific countries and territories,la,country_name,weo_2020
other asia pacific countries and territories,mo,country_name,weo_2020
other asia pacific countries and territories,mv,country_name,weo_2020
other asia pacific countries and territories,nc,country_name,weo_2020
other asia pacific countries and territories,pw,country_name,weo_2020
other asia pacific countries and territories,pg,country_name,weo_2020
other asia pacific countries and territories,ws,country_name,weo_2020
other asia pacific countries and territories,sb,country_name,weo_2020
other asia pacific countries and territories,tl,country_name,weo_2020
other asia pacific countries and territories,to,country_name,weo_2020
other asia pacific countries and territories,vu,country_name,weo_2020
other central and south american countries and territories,ai,country_name,weo_2020
other central and south american countries and territories,ag,country_name,weo_2020
other central and south american countries and territories,aw,country_name,weo_2020
other central and south american countries and territories,bs,country_name,weo_2020
other central and south american countries and territories,bb,country_name,weo_2020
other central and south american countries and territories,bz,country_name,weo_2020
other central and south american countries and territories,bm,country_name,weo_2020
other central and south american countries and territories,bq,country_name,weo_2020
other central and south american countries and territories,vg,country_name,weo_2020
other central and south american countries and territories,ky,country_name,weo_2020
other central and south american countries and territories,dm,country_name,weo_2020
other central and south american countries and territories,fk,country_name,weo_2020
other central and south american countries and territories,gf,country_name,weo_2020
other central and south american countries and territories,gd,country_name,weo_2020
other central and south american countries and territories,gp,country_name,weo_2020
other central and south american countries and territories,gy,country_name,weo_2020
other central and south american countries and territories,mq,country_name,weo_2020
other central and south american countries and territories,ms,country_name,weo_2020
other central and south american countries and territories,lc,country_name,weo_2020
other central and south american countries and territories,pm,country_name,weo_2020
other central and south american countries and territories,vc,country_name,weo_2020
other central and south american countries and territories,mf,country_name,weo_2020
other central and south american countries and territories,tc,country_name,weo_2020
southeast asia,bn,country_name,weo_2020
southeast asia,kh,country_name,weo_2020
southeast asia,id,country_name,weo_2020
southeast asia,la,country_name,weo_2020
southeast asia,my,country_name,weo_2020
southeast asia,mm,country_name,weo_2020
southeast asia,ph,country_name,weo_2020
southeast asia,sg,country_name,weo_2020
southeast asia,th,country_name,weo_2020
southeast asia,vn,country_name,weo_2020
sub saharan africa,ao,country_name,weo_2020
sub saharan africa,bj,country_name,weo_2020
sub saharan africa,bw,country_name,weo_2020
sub saharan africa,cm,country_name,weo_2020
sub saharan africa,cg,country_name,weo_2020
sub saharan africa,ci,country_name,weo_2020
sub saharan africa,cd,country_name,weo_2020
sub saharan africa,er,country_name,weo_2020
sub saharan africa,et,country_name,weo_2020
sub saharan africa,ga,country_name,weo_2020
sub saharan africa,gh,country_name,weo_2020
sub saharan africa,ke,country_name,weo_2020
sub saharan africa,mu,country_name,weo_2020
sub saharan africa,mz,country_name,weo_2020
sub saharan africa,na,country_name,weo_2020
sub saharan africa,ne,country_name,weo_2020
sub saharan africa,ng,country_name,weo_2020
sub saharan africa,sn,country_name,weo_2020
sub saharan africa,za,country_name,weo_2020
sub saharan africa,ss,country_name,weo_2020
sub saharan africa,sd,country_name,weo_2020
sub saharan africa,tz,country_name,weo_2020
sub saharan africa,tg,country_name,weo_2020
sub saharan africa,zm,country_name,weo_2020
sub saharan africa,zw,country_name,weo_2020
sub saharan africa,bf,country_name,weo_2020
sub saharan africa,bi,country_name,weo_2020
sub saharan africa,cv,country_name,weo_2020
sub saharan africa,cf,country_name,weo_2020
sub saharan africa,td,country_name,weo_2020
